name	town	access	lat	lng	address	source
Kings Way Golf Club	Yarmouth Port	private	41.7047	-70.2277	Old Kings Hwy	golfmassachusetts
Lakeville Country Club	Lakeville	public	41.871067	-70.942527	44 Clear Pond Rd	golfmassachusetts
Larry Gannon Municipal Golf Course	Lynn	muni	42.491763	-70.974474	60 Great Woods Rd	golfmassachusetts
Ledgemont Country Club	Seekonk	private	41.868701	-71.325729	131 Brown Ave	golfmassachusetts
Ledges Municipal Golf Course	South Hadley	muni	42.24291	-72.59673	18 Mulligan Dr	golfmassachusetts
Leicester Country Club	Leicester	public	42.243561	-71.923802	1430 Main St	golfmassachusetts
Lexington Golf Club	Lexington	private	42.4549	-71.241966	55 Hill St	golfmassachusetts
Links at Mass Golf	Norton	public				local
Little Harbor Country Club	Wareham	public	41.72573	-70.67088	Little Harbor Rd	golfmassachusetts
Locust Valley Golf Course	Attleboro	public	41.921822	-71.286948	106 Locust St	golfmassachusetts
Longmeadow Country Club	Longmeadow	private	42.040853	-72.569852	400 Shaker Rd	golfmassachusetts
Lost Brook Golf Club	Norwood	public	42.199752	-71.173297	750 University Ave	golfmassachusetts
Ludlow Country Club	Ludlow	private	42.16095	-72.46066	Tony Lema Dr	golfmassachusetts
Lynnfield Center Golf Club	Lynnfield	public	42.53516	-71.043534	195 Summer St	golfmassachusetts
Maplegate Country Club	Bellingham	public	42.108541	-71.447115	160 Maple St	golfmassachusetts
Maplewood Golf Course	Lunenburg	public	42.606953	-71.768401	994 N. Field Rd	golfmassachusetts
Marion Golf Club	Marion	public	41.720322	-70.751171	10 S Dr	golfmassachusetts
Marlborough Country Club	Marlborough	semi	42.35552	-71.523833	200 Concord Rd	golfmassachusetts
Marshfield Country Club	Marshfield	public				golfmassachusetts
Martin Memorial Municipal Golf Course	Weston	muni	42.33817	-71.267479	190 Park Rd	golfmassachusetts
Maynard Country Club	Maynard	semi	42.44157	-71.45247	Brown St	golfmassachusetts
Meadow Brook Golf Club	Reading	private	42.544377	-71.126978	292 Grove St	golfmassachusetts
Merrimack Golf Course	Methuen	semi	42.754475	-71.172073	210 Howe St	golfmassachusetts
Merrimack Valley Golf Course	Methuen	public				local
Miacomet Golf Course	Nantucket	public	41.252608	-70.11583	12 West Miacomet Road	golfmassachusetts
Middlebrook Country Club	Rehoboth	public	41.788484	-71.242771	149 Pleasant St	golfmassachusetts
Middleton Golf Course	Middleton	public	42.583192	-71.005375	105 S Main St	golfmassachusetts
Milford Country Club	Milford	private	42.145432	-71.545403	3A Country Club Ln	golfmassachusetts
Mill Valley Country Club	Belchertown	semi	42.260994	-72.374154	380 Mill Valley Rd	golfmassachusetts
Millwood Farms Golf Course	Framingham	public	42.32163	-71.464033	175 Millwood St	golfmassachusetts
Mink Meadows Golf Club	Vineyard Haven	semi	41.449	-70.6142	Golf Club Way	golfmassachusetts
Monoosnock Country Club	Leominster	semi	42.54715	-71.73791	Monoosnock Ave	golfmassachusetts
Mount Hood Golf Course	Melrose	public	42.453987	-71.041911	60 Slayton Rd	golfmassachusetts
Mt Pleasant Golf Club (MA)	Lowell 	public				local
Mt. Pleasant Golf Club	Lowell	private	42.628534	-71.344335	141 Staples	golfmassachusetts
Myopia Hunt Club	South Hamilton	private	42.6204	-70.8619	Off Bay Rd	golfmassachusetts
Nabnasset Lake Country Club	Westford	private	42.618501	-71.414088	47 Oak Hill Rd	golfmassachusetts
Nashawtuc Country Club	Concord	private	42.416628	-71.374157	1861 Sudbury Rd	golfmassachusetts
Needham Golf Club	Needham	private	42.272146	-71.214306	49 Green St	golfmassachusetts
New England Patriot National Golf Club	Foxboro	public				local
